created_at,entry_id,noise,accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z,magnetometer-x,magnetometer-y,magnetometer-z,temperature,label
2018-04-19 07:06:26 UTC,22,198.0912,0.003349805,0.003850684,0.004509277,2.282442748,-0.366412214,-1.13740458,5.361328125,-28.42148438,-23.16210938,0.086817025,OFF
2018-04-19 07:07:36 UTC,23,211.7344,0.005039648,0.004759229,0.004958008,1.923664122,-0.244274809,-0.885496183,4.110351563,-28.60136719,-22.64355469,0.074107886,OFF
2018-04-19 07:08:26 UTC,24,209.8648,0.003204443,0.004537012,0.004924805,1.870229008,0.480916031,0,4.467773438,-28.60136719,-22.64355469,0.114823135,OFF
2018-04-19 07:09:23 UTC,25,215.3728,0.002545264,0.0044771,0.004336914,2.114503817,0.297709924,-0.839694656,6.076171875,-27.70195313,-22.81640625,0.080625393,OFF
2018-04-19 07:10:07 UTC,26,237.4584,0.013060986,0.015650195,0.03962207,5.053435115,-5.053435115,-3.27480916,5.71875,-27.70195313,-22.125,0.109129901,ON
2018-04-19 07:11:26 UTC,27,238.8452,0.014139844,0.015045166,0.039234863,-0.022900763,2.061068702,3.183206107,5.897460938,-28.96113281,-22.98925781,0.109455776,ON
2018-04-19 07:12:06 UTC,28,216.6236,0.014791357,0.016680811,0.041254883,-0.145038168,7.053435115,5.946564885,5.540039063,-27.88183594,-21.95214844,0.110107527,ON
2018-04-19 07:12:59 UTC,29,243.7956,0.014760742,0.019041357,0.036144043,1.160305344,6.633587786,2.824427481,6.076171875,-29.50078125,-22.125,0.113040405,ON
2018-04-19 07:14:17 UTC,30,254.9572,0.016211133,0.016943457,0.037887695,1.816793893,4.694656489,3.030534351,5.71875,-26.98242188,-20.7421875,0.086855363,ON
2018-04-19 07:15:34 UTC,31,232.9464,0.014758105,0.015113477,0.038488281,4.923664122,-6.328244275,-2.396946565,4.646484375,-29.86054688,-22.125,0.07579477,ON
2018-04-19 07:16:17 UTC,32,244.1564,0.016785986,0.016016699,0.041227539,3.992366412,-4.534351145,-2.503816794,4.467773438,-28.96113281,-21.95214844,0.089347351,ON
2018-04-19 07:17:11 UTC,33,222.8176,0.015112109,0.017855127,0.040712402,2.114503817,-6.610687023,-5.93129771,5.182617188,-28.24160156,-21.95214844,0.097628418,ON
2018-04-19 07:18:31 UTC,34,222.1168,0.017176416,0.016811572,0.043433105,4.702290076,-0.526717557,0.908396947,4.825195313,-27.16230469,-23.33496094,0.092011861,ON
2018-04-19 07:19:44 UTC,35,233.4572,0.019182324,0.01808877,0.044972168,1.030534351,-2.832061069,-5.129770992,5.361328125,-28.78125,-23.5078125,0.144631144,ON
2018-04-19 07:21:02 UTC,36,286.4108,0.021959521,0.010023486,0.029299316,-0.603053435,8.564885496,7.358778626,5.897460938,-30.04042969,-23.33496094,0.084593405,ON
2018-04-19 07:22:23 UTC,37,208.2752,0.008618164,0.016172998,0.01189209,3.755725191,-0.946564885,-1.717557252,4.467773438,-28.24160156,-22.64355469,0.086414473,OFF
2018-04-19 07:23:30 UTC,38,204.2772,0.012004395,0.012406934,0.021286133,2.213740458,3.435114504,1.58778626,5.361328125,-27.70195313,-22.125,0.073321952,ON
2018-04-19 07:24:45 UTC,39,264.3196,0.015043018,0.01815542,0.017236816,4.557251908,-1.748091603,-4.442748092,5.00390625,-29.14101563,-21.77929688,0.126957199,ON
2018-04-19 07:25:36 UTC,40,208.2912,0.00265835,0.005415674,0.004438965,1.900763359,0.93129771,0.27480916,5.182617188,-28.96113281,-22.98925781,0.173710726,OFF
2018-04-19 07:25:57 UTC,41,213.4724,0.002533496,0.006078711,0.004649414,2.053435115,0.778625954,-0.045801527,5.361328125,-28.42148438,-22.81640625,0.098452691,OFF
2018-04-19 07:27:06 UTC,42,197.0604,0.002164258,0.005615918,0.00461084,1.969465649,1.175572519,0.053435115,4.646484375,-28.42148438,-22.81640625,0.096152395,OFF
2018-04-19 07:28:30 UTC,43,217.5332,0.002226465,0.005960156,0.005057129,1.900763359,0.404580153,-0.435114504,4.2890625,-28.78125,-21.43359375,0.09714919,OFF
2018-04-19 07:29:41 UTC,44,213.4224,0.002737793,0.005966406,0.004102051,2.145038168,0.702290076,0.13740458,5.540039063,-28.60136719,-22.29785156,0.121417318,OFF
2018-04-19 07:30:32 UTC,45,229.3748,0.002539307,0.006351465,0.004750977,1.893129771,0.282442748,-0.34351145,4.646484375,-28.42148438,-22.47070313,0.115762422,OFF
2018-04-19 07:30:55 UTC,46,209.3708,0.002393066,0.005815771,0.004114258,2.007633588,0.34351145,-0.190839695,5.182617188,-28.24160156,-22.98925781,0.133072154,OFF
2018-04-19 07:32:02 UTC,47,202.4108,0.001956738,0.006082568,0.004652832,2.091603053,0.946564885,-0.022900763,6.254882813,-28.60136719,-23.33496094,0.18183844,OFF
2018-04-19 07:32:56 UTC,48,256.2696,0.017701123,0.014216016,0.030628418,-0.038167939,0.167938931,-0.297709924,5.540039063,-27.88183594,-21.95214844,0.243313865,ON
