created_at,entry_id,field1,field2,field3,field4,field5
2018-04-19 07:37:56 UTC,53,339.5816,"0.02226147460937499,0.01717324218750001,0.02483056640625001","3.49618320610687,-7.145038167938932,-6.396946564885496","4.8251953125,-29.6806640625,-23.6806640625",0.1620750591547555
2018-04-19 07:38:55 UTC,54,273.1863999999999,"0.007325732421874999,0.01248164062500001,0.022150390625","1.16030534351145,-0.5648854961832061,1.343511450381679","5.00390625,-28.06171875,-23.853515625",0.1238134603288661
2018-04-19 07:39:56 UTC,55,224.8368,"0.01078388671875,0.01916196289062501,0.03119140625000001","0.7099236641221374,-0.2290076335877862,2.076335877862595","5.1826171875,-29.3208984375,-22.9892578125",0.1165100188696155
2018-04-19 07:40:56 UTC,56,283.29,"0.014142333984375,0.02502968750000001,0.03290722656249998","4.580152671755725,1.877862595419847,-4.366412213740458","4.8251953125,-29.6806640625,-22.9892578125",0.08863809267079731
2018-04-19 07:41:56 UTC,57,305.6104,"0.01398984375,0.022188232421875,0.03215771484374999","3.206106870229008,0.9618320610687023,1.580152671755725","4.8251953125,-30.0404296875,-22.9892578125",0.2411285829813946
2018-04-19 07:42:55 UTC,58,259.3996,"0.014422900390625,0.02509208984375,0.02703759765625001","5.778625954198473,-1.389312977099237,-8.106870229007633","4.2890625,-29.50078125,-22.81640625",0.3788396681343004
2018-04-19 07:43:57 UTC,59,292.5824000000001,"0.01436430664062501,0.02488916015625001,0.03110351562500001","2.488549618320611,0.1374045801526718,-5.374045801526718","4.1103515625,-26.4427734375,-23.3349609375",0.3947308832779202
2018-04-19 07:44:56 UTC,60,294.7388,"0.014223046875,0.022282763671875,0.02848388671875","3.977099236641221,1.778625954198473,-2.770992366412214","4.2890625,-28.06171875,-23.5078125",0.4059064905502108
2018-04-19 07:45:55 UTC,61,297.4196,"0.01481240234375001,0.022188916015625,0.02760253906249999","-0.4122137404580153,0.9236641221374045,6.396946564885496","4.4677734375,-26.8025390625,-22.2978515625",0.4276059544133907
2018-04-19 07:46:56 UTC,62,209.3915999999998,"0.002554931640624998,0.005557666015625006,0.004365234375000027","1.870229007633588,0.5267175572519084,-0.1984732824427481","4.2890625,-28.421484375,-24.19921875",0.3931015065744116
2018-04-19 07:47:56 UTC,63,221.4135999999999,"0.002358691406249998,0.005325732421875008,0.003988281250000032","2.083969465648855,0.5572519083969466,-0.007633587786259541","4.2890625,-28.06171875,-22.470703125",0.3418432323958384
2018-04-19 07:48:56 UTC,64,205.8911999999999,"0.002581640624999997,0.005306201171875009,0.003794921875000026","1.83206106870229,0.7022900763358778,-0.02290076335877862","4.8251953125,-27.8818359375,-22.9892578125",0.3012621679096603
2018-04-19 07:49:56 UTC,65,192.2215999999999,"0.002753466796874997,0.005657080078125007,0.003944824218750029","2.099236641221374,0.465648854961832,-0.4809160305343512","6.2548828125,-26.0830078125,-21.9521484375",0.2077167759906496
2018-04-19 07:50:56 UTC,66,207.0415999999998,"0.002584082031249997,0.005858642578125004,0.004383300781250035","1.908396946564886,0.732824427480916,-0.3053435114503817","4.1103515625,-27.1623046875,-20.5693359375",0.2345343996166122
2018-04-19 07:51:56 UTC,67,213.1711999999998,"0.003331884765624997,0.006167626953124997,0.00585302734375003","1.908396946564886,0.2595419847328244,-0.2137404580152672","5.5400390625,-28.6013671875,-22.2978515625",0.167691616497434
2018-04-19 07:52:56 UTC,68,203.9411999999998,"0.002356445312499997,0.005713574218750006,0.004416992187500033","1.679389312977099,0.8702290076335878,-0.3129770992366412","5.1826171875,-28.6013671875,-22.6435546875",0.1001779135591662
2018-04-19 07:53:56 UTC,69,212.2723999999999,"0.003217333984374997,0.006225537109375003,0.005730468750000028","1.641221374045801,0.916030534351145,0.1679389312977099","5.5400390625,-27.8818359375,-21.6064453125",0.1084781501782087
2018-04-19 07:54:56 UTC,70,205.2319999999999,"0.002616552734374997,0.005413281250000006,0.004853027343750034","2.137404580152672,0.6335877862595419,0.03053435114503817","6.6123046875,-28.6013671875,-21.9521484375",0.1102225417078472
2018-04-19 07:55:55 UTC,71,214.5711999999998,"0.002766406249999998,0.005835302734375004,0.004797851562500034","2.053435114503817,1.091603053435114,-0.1068702290076336","5.8974609375,-27.8818359375,-22.2978515625",0.0946380327672418
